Country,Value
Argentina,77.3
Australia,83.2
Austria,81.3
Belgium,80.8
Brazil,75.3
Bulgaria,73.6
Canada,81.7
Chile,80.8
China,78
Colombia,76.7
Costa Rica,80.6
Croatia,77.8
Czechia,78.3
Denmark,81.6
Estonia,78.9
Finland,82
France,82.3
Germany,81.1
Greece,81.4
Hungary,75.7
Iceland,83.1
India,70.9
Indonesia,70.5
Ireland,82.6
Israel,82.7
Italy,82.3
Japan,84.6
Korea,83.5
Latvia,75.5
Lithuania,75.1
Luxembourg,82.2
Mexico,75.2
Netherlands,81.4
New Zealand,82.3
Norway,83.3
Peru,76.2
Poland,76.5
Portugal,81.1
Romania,74.2
Russia,0
Slovak Republic,77
Slovenia,80.6
South Africa,66.2
Spain,82.4
Sweden,82.4
Switzerland,83.1
Turkey,0
United Kingdom,80.4
United States,77
